Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
MR ANTOINE GILIBERT	12	44	6	24	238936,00	91554,00	330490,00	12924,00	5430,36	19911	4
HARAS DE SAINT JULIEN	21	55	3	26	80265,00	44463,00	124728,00	12902,00	1459,36	3822	3
ECURIE GRIBOMONT	13	45	3	24	109843,00	53152,00	162995,00	12884,00	2440,96	8449	3
HYPERION SARL	7	28	2	17	71082,00	34113,00	105195,00	12856,00	2538,64	10155	4
HARAS DE BEAUVOIR	15	64	7	32	95613,00	42029,00	137642,00	12788,00	1493,95	6374	4
MR ANTON KRAULIGER	4	23	3	14	62612,00	35187,00	97799,00	12705,00	2722,26	15653	6
MR WERNER NEUMANN	7	35	2	17	59887,00	37844,00	97731,00	12694,00	1711,06	8555	5
AB ASCOT	4	15	4	4	64787,00	38415,00	103202,00	12689,00	4319,13	16197	4
HARAS DU PECOS	10	23	4	13	82665,00	0,00	82665,00	12276,00	3594,13	8266	2
ECURIE DES CHARMES	16	55	7	33	159838,00	60601,00	220439,00	12174,00	2906,15	9990	3
HARAS DE LA MERCERIE	7	25	4	17	75984,00	38132,00	114116,00	12109,00	3039,36	10855	4
LONDON THOROUGHBRED SERVICES	7	28	7	15	90285,00	53131,00	143416,00	12098,00	3224,46	12898	4
MME HILARY ERCULIANI	12	34	3	22	84490,00	46582,00	131072,00	11852,00	2485,00	7041	3
MR CLAUDIO MARZOCCO	8	26	5	15	107412,00	75446,00	182858,00	11595,00	4131,23	13426	3
SAS MATA HORSE	7	21	5	9	60694,00	39350,00	100044,00	11520,00	2890,19	8671	3
ELEVAGE HARAS DE BOURGEAUVILLE	22	66	5	27	70245,00	31949,00	102194,00	11489,00	1064,32	3193	3
AL SHAHANIA STUD	13	37	6	14	67706,00	34304,00	102010,00	11448,00	1829,89	5208	3
HARAS DE LA HAIE NEUVE	20	55	6	30	118865,00	80165,00	199030,00	11394,00	2161,18	5943	3
ECURIE BIRABEN	19	57	5	33	107744,00	61285,00	169029,00	11321,00	1890,25	5671	3
GESTUT HACHTSEE	5	27	5	15	75419,00	36345,00	111764,00	11229,00	2793,30	15084	5
ECURIE HARAS DE BEAUFAY	7	21	3	12	67376,00	41813,00	109189,00	11036,00	3208,38	9625	3
CHINA HORSE CLUB INTERNATIONAL	10	34	3	23	86951,00	32623,00	119574,00	10914,00	2557,38	8695	3
ECURIE ARTU SNC	9	44	4	22	81789,00	36357,00	118146,00	10843,00	1858,84	9088	5
