Cheval	Âge	Sexe	Race	Courses	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Gain moyen	Valeur
MICOLEO	7	H	PUR SANG	7	2	3	26241,00	11807,00	38048,00	3748,00	245
TASHANKA	5	M	PUR SANG	4	2	2	26208,00	11793,00	38001,00	6552,00	410
LEFFARD	4	M	PUR SANG	1	0	1	26180,00	11781,00	37961,00	26180,00	530
GOLDENSIM	6	H	PUR SANG	10	1	8	26104,00	11742,00	37846,00	2610,00	320
MISTY CITY	3	F	PUR SANG	11	1	7	26099,00	19572,00	45671,00	2372,00	335
BEST SHALAA	5	F	PUR SANG	5	2	3	25824,00	11619,00	37443,00	5164,00	290
CHAUMIERE DE PRE	4	H	PUR SANG	3	2	1	25570,00	11505,00	37075,00	8523,00	435
DIVIDE AND RULE	5	F	PUR SANG	2	1	0	25450,00	11452,00	36902,00	12725,00	420
BAYAMOON	5	M	PUR SANG	3	1	0	25450,00	11452,00	36902,00	8483,00	420
MODERN LIGHT	5	F	PUR SANG	3	1	0	25450,00	11452,00	36902,00	8483,00	360
QUEST FOR MAGIC	4	F	PUR SANG	1	1	0	25450,00	11452,00	36902,00	25450,00	405
ITAEWON	6	M	PUR SANG	6	2	2	25329,00	11396,00	36725,00	4221,00	300
ANASHKAYA IRE	3	F	PUR SANG	3	1	2	25209,00	0,00	25209,00	8403,00	420
EDAJA	3	F	PUR SANG	2	2	0	25150,00	18862,00	44012,00	12575,00	
ELASTIC	3	M	PUR SANG	1	1	0	25150,00	18862,00	44012,00	25150,00	470
ARKANSAS	3	F	PUR SANG	1	1	0	25150,00	18862,00	44012,00	25150,00	450
KIMI REY GB	3	F	PUR SANG	1	1	0	25150,00	0,00	25150,00	25150,00	460
ALEXANDER MAXIMUS	3	M	PUR SANG	4	2	2	24892,00	18668,00	43560,00	6223,00	380
SISKA	3	F	PUR SANG	6	0	6	24768,00	18574,00	43342,00	4128,00	320
RUE DE L'ODEON	4	F	PUR SANG	7	2	2	24730,00	11128,00	35858,00	3532,00	315
COSMIC BOY	3	M	PUR SANG	3	2	1	24540,00	18404,00	42944,00	8180,00	425
SWEET FOR ME	3	F	PUR SANG	3	2	1	24540,00	18404,00	42944,00	8180,00	395
ANTINEA	8	F	PUR SANG	6	2	4	24504,00	11025,00	35529,00	4084,00	265
JOEY UP	8	H	PUR SANG	7	2	4	24468,00	11008,00	35476,00	3495,00	280
ANTICO (IRE)	5	H	PUR SANG	8	2	3	24407,00	10981,00	35388,00	3050,00	275
WE'LL DEFEND	4	F	PUR SANG	2	1	1	24260,00	10916,00	35176,00	12130,00	460
VICTORIA SECRET	3	F	PUR SANG	8	2	4	23938,00	17952,00	41890,00	2992,00	300
DUBALAA	4	H	PUR SANG	4	0	3	23925,00	10763,00	34688,00	5981,00	375
LOUIS OTHON	4	H	PUR SANG	5	2	2	23904,00	10756,00	34660,00	4780,00	345
SOFT DREAM	3	M	PUR SANG	3	2	1	23860,00	17895,00	41755,00	7953,00	360
MARQUISAT IRE	6	H	PUR SANG	1	1	0	23800,00	0,00	23800,00	23800,00	510
MURANO	6	H	PUR SANG	7	2	5	23668,00	10649,00	34317,00	3381,00	245
TIZIAN	4	H	PUR SANG	5	1	4	23534,00	10587,00	34121,00	4706,00	325
PADDINGTON	3	M	PUR SANG	4	2	2	23531,00	17647,00	41178,00	5882,00	330
MONTGAUDRY	6	H	PUR SANG	4	1	3	23200,00	10438,00	33638,00	5800,00	355
FALOU CHOPE	3	F	PUR SANG	3	2	1	23060,00	17294,00	40354,00	7686,00	345
MAIAKOVSKA	2	F	PUR SANG	1	1	0	22850,00	17137,00	39987,00	22850,00	
LORD ASRIEL D ALME	5	H	PUR SANG	7	2	3	22833,00	10272,00	33105,00	3261,00	245
BEETLEJUICE	4	H	PUR SANG	5	1	3	22517,00	10131,00	32648,00	4503,00	345
PROFUMO DI IENA	4	F	PUR SANG	3	1	2	22434,00	10093,00	32527,00	7478,00	415
AL RATEEL USA	3	F	PUR SANG	3	2	0	22400,00	0,00	22400,00	7466,00	420
ASLAN SENORA	7	H	PUR SANG	4	2	2	22372,00	10065,00	32437,00	5593,00	310
AIMANT	8	H	PUR SANG	5	2	3	22170,00	9975,00	32145,00	4434,00	270
DREAMS	8	M	PUR SANG	4	1	3	22129,00	9957,00	32086,00	5532,00	335
SOGYNT	7	H	PUR SANG	5	2	3	22124,00	9953,00	32077,00	4424,00	325
IRBIS	7	H	PUR SANG	5	2	2	22059,00	9925,00	31984,00	4411,00	315
KIEVSKY	6	H	PUR SANG	7	2	4	22013,00	9904,00	31917,00	3144,00	310
CHESS	5	M	PUR SANG	3	1	2	21954,00	9877,00	31831,00	7318,00	400
SAMAGACE DU VIVIEN	12	H	PUR SANG	5	2	1	21898,00	9853,00	31751,00	4379,00	245
BIN ZARAK	4	M	PUR SANG	4	1	2	21890,00	9850,00	31740,00	5472,00	400
LIVRY	4	F	PUR SANG	3	2	1	21888,00	9849,00	31737,00	7296,00	365
GRECIAN BONANZA (GB)	6	M	PUR SANG	5	2	2	21728,00	9777,00	31505,00	4345,00	395
LOFSONGUR ISLANDE	6	F	PUR SANG	4	2	2	21612,00	9724,00	31336,00	5403,00	275
JABRACADABRA	3	H	PUR SANG	2	2	0	21600,00	16200,00	37800,00	10800,00	425
SELF SOLUTION GER	5	H	PUR SANG	5	2	2	21471,00	0,00	21471,00	4294,00	360
NEKKETSU	3	M	PUR SANG	3	1	2	21412,00	16057,00	37469,00	7137,00	390
ALOYSIUS	4	M	PUR SANG	3	0	3	21379,00	9618,00	30997,00	7126,00	385
MARTAGNY	3	M	PUR SANG	2	1	1	21245,00	15933,00	37178,00	10622,00	430
AL MAX	4	H	PUR SANG	3	1	2	21162,00	9522,00	30684,00	7054,00	400
ZAHYANA	6	F	PUR SANG	3	1	2	21024,00	9460,00	30484,00	7008,00	410
BLACK SAXON	5	H	PUR SANG	3	1	2	20968,00	9434,00	30402,00	6989,00	360
ZOLIA	4	F	PUR SANG	7	2	4	20764,00	9340,00	30104,00	2966,00	345
SHOWPOWER GB	5	H	PUR SANG	6	2	4	20762,00	0,00	20762,00	3460,00	350
FAVORY CHOP	5	H	PUR SANG	5	1	2	20753,00	9337,00	30090,00	4150,00	315
USER KINDLY GB	7	M	PUR SANG	4	3	0	20650,00	0,00	20650,00	5162,00	310
GO LOVE	7	H	PUR SANG	4	1	3	20579,00	9259,00	29838,00	5144,00	325
KALKARA	3	H	PUR SANG	3	1	2	20502,00	15374,00	35876,00	6834,00	420
TORNADO ALLEY (GB)	3	M	PUR SANG	3	1	2	20210,00	15157,00	35367,00	6736,00	385
BON VIVEUR	3	M	PUR SANG	4	1	3	20178,00	15133,00	35311,00	5044,00	400
MASTER PAT	5	H	PUR SANG	5	1	4	20109,00	9047,00	29156,00	4021,00	315
ZACAPO IRE	7	H	PUR SANG	7	1	5	20034,00	0,00	20034,00	2862,00	355
FAMOSO	6	H	PUR SANG	6	1	4	19959,00	8978,00	28937,00	3326,00	325
DISTURBED	5	H	PUR SANG	5	1	3	19950,00	8975,00	28925,00	3990,00	360
WARRIORS WHISPER IRE	3	F	PUR SANG	2	1	1	19895,00	0,00	19895,00	9947,00	
RIASSOU	5	F	PUR SANG	4	2	2	19878,00	8944,00	28822,00	4969,00	410
AQUITAIN	4	H	PUR SANG	4	1	1	19872,00	8942,00	28814,00	4968,00	375
LOLLIPOP DES PINS	5	F	PUR SANG	4	2	2	19820,00	8917,00	28737,00	4955,00	300
WONDER BOY	11	H	PUR SANG	6	1	5	19800,00	8908,00	28708,00	3300,00	320
JESS LIVERMORE (GB)	5	H	PUR SANG	4	1	3	19770,00	8894,00	28664,00	4942,00	285
REMENBER CHOPE	3	F	PUR SANG	3	1	2	19748,00	14810,00	34558,00	6582,00	350
LE TYCOON	4	H	PUR SANG	7	1	5	19724,00	8873,00	28597,00	2817,00	275
MEXICAN DREAM	8	F	PUR SANG	6	2	2	19693,00	8860,00	28553,00	3282,00	320
KHALINSKHA	3	F	PUR SANG	3	2	0	19650,00	14737,00	34387,00	6550,00	400
ROZARION	3	M	PUR SANG	4	0	4	19586,00	14688,00	34274,00	4896,00	365
SIR CRATER	4	M	PUR SANG	3	2	1	19572,00	8807,00	28379,00	6524,00	375
LOHENGREEN	3	M	PUR SANG	3	1	2	19526,00	14643,00	34169,00	6508,00	390
BOSIOH	9	M	PUR SANG	7	1	6	19513,00	8778,00	28291,00	2787,00	310
USER AMISTOSO	5	H	PUR SANG	4	2	2	19507,00	8776,00	28283,00	4876,00	320
LETHAL BEAUTY	3	F	PUR SANG	3	0	2	19504,00	14628,00	34132,00	6501,00	460
SIR GARSING	5	H	PUR SANG	7	3	1	19386,00	8723,00	28109,00	2769,00	280
CARTAAM	4	H	PUR SANG	5	1	4	19383,00	8720,00	28103,00	3876,00	275
LINFASOMMER	6	F	PUR SANG	4	1	3	19380,00	8720,00	28100,00	4845,00	360
DAPANGO GER	7	H	PUR SANG	3	2	1	19348,00	0,00	19348,00	6449,00	385
QUIET KING	4	H	PUR SANG	2	0	2	19344,00	8702,00	28046,00	9672,00	425
RISING WATER	3	F	PUR SANG	5	1	4	19322,00	14490,00	33812,00	3864,00	345
FIRST LOOK (IRE)	5	H	PUR SANG	2	0	2	19310,00	8689,00	27999,00	9655,00	525
L'ALTA ROCCA	3	M	PUR SANG	4	1	3	19286,00	14464,00	33750,00	4821,00	315
MISTERWINNER	4	H	PUR SANG	3	1	2	19282,00	8675,00	27957,00	6427,00	370
SECOND TO NONE IRE	8	H	PUR SANG	5	1	4	19270,00	0,00	19270,00	3854,00	210
HALF HALF	6	H	PUR SANG	4	0	3	19198,00	8637,00	27835,00	4799,00	380
MISTER CHANG	4	H	PUR SANG	2	1	1	18981,00	8541,00	27522,00	9490,00	385
POLO BABY	4	H	PUR SANG	6	1	5	18979,00	8537,00	27516,00	3163,00	230
WATCH HIM	8	M	PUR SANG	4	0	4	18947,00	8523,00	27470,00	4736,00	405
MR FLEURANT (IRE)	5	H	PUR SANG	4	2	2	18937,00	8521,00	27458,00	4734,00	405
SAFRAN DORE	3	H	PUR SANG	4	1	3	18895,00	14170,00	33065,00	4723,00	400
SATURDAY NIGHT	4	F	PUR SANG	5	1	2	18877,00	8493,00	27370,00	3775,00	350
EXHIT	7	H	PUR SANG	5	2	3	18848,00	8479,00	27327,00	3769,00	290
EQUULEUS	3	M	PUR SANG	3	1	2	18812,00	14108,00	32920,00	6270,00	
HUMAN EVOLUTION IRE	5	M	PUR SANG	3	1	2	18716,00	0,00	18716,00	6238,00	335
COMTE NOIR	5	H	PUR SANG	5	1	4	18698,00	8412,00	27110,00	3739,00	270
AMUSANTE IRE	3	F	PUR SANG	4	1	3	18624,00	0,00	18624,00	4656,00	355
LIGHT L'AUDRIELLE	3	M	PUR SANG	3	1	2	18588,00	13939,00	32527,00	6196,00	375
CIELO DI ROMA	3	M	PUR SANG	2	0	2	18525,00	13893,00	32418,00	9262,00	455
CHARLY	3	H	PUR SANG	2	1	1	18442,00	13831,00	32273,00	9221,00	360
SPACE GOOD	3	H	PUR SANG	4	1	3	18258,00	13693,00	31951,00	4564,00	350
LEPARD	7	M	PUR SANG	7	2	3	18207,00	8192,00	26399,00	2601,00	320
PIC DU MIDI	5	H	PUR SANG	4	2	0	18200,00	8190,00	26390,00	4550,00	295
VIANETA	5	F	PUR SANG	5	2	1	18135,00	8160,00	26295,00	3627,00	235
COOLMEEN ROYAL	7	H	PUR SANG	3	1	2	18090,00	8139,00	26229,00	6030,00	325
GOLDEN BROWN	4	H	PUR SANG	5	2	1	18058,00	8126,00	26184,00	3611,00	330
ZASYMOKA	5	F	PUR SANG	3	1	1	18048,00	8121,00	26169,00	6016,00	335
DIXMUDE (IRE)	4	H	PUR SANG	3	1	2	18007,00	8101,00	26108,00	6002,00	390
DREAM IN NORMANDY (IRE)	10	H	PUR SANG	8	1	5	17998,00	8098,00	26096,00	2249,00	180
ANNABEL'S GHOST IRE	5	H	PUR SANG	3	1	2	17977,00	0,00	17977,00	5992,00	415
IN THE ARMY NOW	6	F	PUR SANG	5	2	3	17948,00	8076,00	26024,00	3589,00	225
MAY IT BE (IRE)	5	F	PUR SANG	3	1	2	17880,00	8043,00	25923,00	5960,00	415
ELUSIVE FOOT (IRE)	9	H	PUR SANG	4	1	2	17873,00	8041,00	25914,00	4468,00	345
MARTIAL ART	7	H	PUR SANG	4	1	1	17872,00	8041,00	25913,00	4468,00	290
QUEMAZAL	3	M	PUR SANG	4	1	3	17784,00	13338,00	31122,00	4446,00	380
CANNELLO	10	H	PUR SANG	4	2	1	17767,00	7994,00	25761,00	4441,00	310
CLAVIS AUREA	4	F	PUR SANG	3	1	2	17710,00	7969,00	25679,00	5903,00	370
ONKEL VOLLI GER	8	H	PUR SANG	6	1	3	17588,00	0,00	17588,00	2931,00	370
ARISTOS	4	H	PUR SANG	4	1	3	17579,00	7910,00	25489,00	4394,00	260
HAVIASSOR	8	H	PUR SANG	3	0	3	17561,00	7900,00	25461,00	5853,00	345
MAGNETIQUE IRE	11	H	PUR SANG	6	1	2	17486,00	0,00	17486,00	2914,00	210
ILIANNABELLA USA	3	F	PUR SANG	4	1	3	17442,00	0,00	17442,00	4360,00	360
SUMMER FLIRT	5	F	PUR SANG	5	2	1	17407,00	7832,00	25239,00	3481,00	230
DARIUS CEN	4	M	PUR SANG	1	1	0	17400,00	7830,00	25230,00	17400,00	470
CASAPUEBLO (IRE)	5	H	PUR SANG	1	1	0	17400,00	7830,00	25230,00	17400,00	505
SOLEIL SUISSE	3	F	PUR SANG	5	1	4	17362,00	9270,00	26632,00	3472,00	360
KUMRAN	6	H	PUR SANG	6	2	2	17352,00	7807,00	25159,00	2892,00	285
SEDSER	5	F	PUR SANG	6	1	4	17324,00	7794,00	25118,00	2887,00	235
KOLPLET	6	H	PUR SANG	4	2	0	17250,00	7762,00	25012,00	4312,00	310
LORD CLOVER IRE	3	M	PUR SANG	2	1	1	17214,00	0,00	17214,00	8607,00	
SPIRIT GREY	6	H	PUR SANG	6	1	5	17138,00	7710,00	24848,00	2856,00	235
FRIENDS DREAM	5	F	PUR SANG	6	1	5	17092,00	7689,00	24781,00	2848,00	230
AZURE DRAGON (IRE)	3	M	PUR SANG	2	1	1	17044,00	12781,00	29825,00	8522,00	
QUANTAS IRE	3	M	PUR SANG	2	1	1	17044,00	0,00	17044,00	8522,00	
ANDOUINS	5	H	PUR SANG	3	1	1	16992,00	7646,00	24638,00	5664,00	310
AMOUAGE	5	H	PUR SANG	4	1	2	16921,00	7613,00	24534,00	4230,00	275
NAZGUL BLOU	3	M	PUR SANG	3	1	1	16908,00	12680,00	29588,00	5636,00	305
WINTERSONNE GER	3	F	PUR SANG	2	2	0	16900,00	0,00	16900,00	8450,00	
SWISS MONEY	6	H	PUR SANG	5	1	4	16882,00	7595,00	24477,00	3376,00	360
MUELHEIMER PERLE GB	8	F	PUR SANG	6	1	4	16805,00	0,00	16805,00	2800,00	335
PAINTELLO	5	H	PUR SANG	1	1	0	16800,00	7560,00	24360,00	16800,00	370
DSCHINGIS HEIGHTS	6	H	PUR SANG	7	1	4	16790,00	7553,00	24343,00	2398,00	265
MELUSINE DU HOULEY	3	F	PUR SANG	3	0	3	16780,00	12582,00	29362,00	5593,00	375
NURLAT	3	H	PUR SANG	3	1	2	16768,00	12576,00	29344,00	5589,00	420
UN JOUR POUR MOI	4	H	PUR SANG	3	2	1	16766,00	7543,00	24309,00	5588,00	340
GRIS DE PERLES	6	H	PUR SANG	4	2	2	16712,00	7519,00	24231,00	4178,00	295
ALREYYAH IRE	4	F	PUR SANG	2	1	1	16660,00	0,00	16660,00	8330,00	425
GALAGOS	4	M	PUR SANG	3	1	1	16522,00	7434,00	23956,00	5507,00	360
BOX OFFICER (GB)	3	H	PUR SANG	3	1	2	16517,00	12386,00	28903,00	5505,00	375
CATHERINE LA MER	3	F	PUR SANG	4	1	3	16511,00	12383,00	28894,00	4127,00	335
ROMANCE MARINE	5	F	PUR SANG	6	1	2	16507,00	7426,00	23933,00	2751,00	305
PINGO	8	F	PUR SANG	7	0	6	16420,00	7386,00	23806,00	2345,00	300
ASPIRE	3	F	PUR SANG	3	1	2	16404,00	12302,00	28706,00	5468,00	370
CICCIO BOY	8	M	PUR SANG	6	1	3	16399,00	7377,00	23776,00	2733,00	385
WILD MOOR	4	F	PUR SANG	4	1	2	16392,00	7375,00	23767,00	4098,00	285
MANNE	9	F	PUR SANG	6	1	4	16378,00	7367,00	23745,00	2729,00	275
ASTIRA	3	F	PUR SANG	3	1	2	16370,00	12277,00	28647,00	5456,00	405
ROSENINSEL	3	F	PUR SANG	3	1	2	16360,00	12269,00	28629,00	5453,00	410
EL KRAKEN	4	H	PUR SANG	6	1	4	16345,00	7353,00	23698,00	2724,00	290
TIAMOWAY	4	H	PUR SANG	4	1	2	16320,00	7344,00	23664,00	4080,00	375
GIN GEMBRE	9	H	PUR SANG	8	0	8	16312,00	7336,00	23648,00	2039,00	160
REUX	4	M	PUR SANG	11	1	7	16311,00	7336,00	23647,00	1482,00	265
MALICIA	4	F	PUR SANG	5	2	2	16241,00	7308,00	23549,00	3248,00	280
MAXIMILIEN	3	M	PUR SANG	3	1	2	16232,00	12173,00	28405,00	5410,00	420
HARMONY	3	F	PUR SANG	5	5	0	16200,00	12150,00	28350,00	3240,00	655
DAMIETTA	3	F	PUR SANG	3	1	2	16188,00	12141,00	28329,00	5396,00	380
INJU GB	3	F	PUR SANG	4	1	2	16145,00	0,00	16145,00	4036,00	430
DOUBLE MAJOR (IRE)	6	H	PUR SANG	2	0	2	16132,00	7259,00	23391,00	8066,00	505
ALKIDAN (GB)	4	H	PUR SANG	5	1	3	16130,00	7257,00	23387,00	3226,00	335
BLACK SOLEA IRE	3	F	PUR SANG	5	1	3	16098,00	0,00	16098,00	3219,00	360
JUST IN TIME GAME	7	M	PUR SANG	6	2	1	16094,00	7241,00	23335,00	2682,00	335
EL PROFESSOR CHOP	6	H	PUR SANG	8	1	4	16014,00	7205,00	23219,00	2001,00	175
REVE DE VALLARSA	6	M	PUR SANG	3	1	1	15984,00	7192,00	23176,00	5328,00	375
COLOMBY (IRE)	3	H	PUR SANG	2	1	1	15934,00	11950,00	27884,00	7967,00	
TURBULENTE (IRE)	3	F	PUR SANG	2	1	1	15934,00	11950,00	27884,00	7967,00	
LA CRACK PRECIEUSE	5	F	PUR SANG	5	2	2	15876,00	7143,00	23019,00	3175,00	200
SIR WALTER	6	H	PUR SANG	3	1	2	15829,00	7121,00	22950,00	5276,00	340
MAUI	3	H	PUR SANG	2	1	1	15808,00	11855,00	27663,00	7904,00	375
VADIROUMA	3	F	PUR SANG	3	1	1	15808,00	11855,00	27663,00	5269,00	380
MAINE	3	F	PUR SANG	2	1	1	15808,00	11855,00	27663,00	7904,00	
RUMPUMPEL (IRE)	3	F	PUR SANG	2	1	1	15808,00	11855,00	27663,00	7904,00	
